document_id,overall_score,cluster_label,similar_documents,year,period,source_type,political_ideology_score,socioeconomic_structure_score,governance_power_score,social_impact_score
670455a18706,2.124558303886926,2,f88585105666; c7541cbc47ce; 031b1c80c392,,,Treaty,0.989399293286219,0.7067137809187279,1.8551236749116606,4.946996466431095
d3eb1393655c,0.748855681206247,4,175c7fd9abeb; d062e3b9d79d; 644d813d4e62,1974.0,Cold War,Speech,1.211631663974152,1.0770059235325795,2.3222940226171245,-1.6155088852988682
031b1c80c392,1.675289480167529,2,670455a18706; c7541cbc47ce; f88585105666,1632.0,Early Modern,Speech,1.0347376201034737,0.49273220004927326,2.2172949002217295,2.9563932002956395
d062e3b9d79d,1.4226818058934851,1,644d813d4e62; 175c7fd9abeb; d3eb1393655c,1991.0,Late 20th Century,Legal Document,0.8921330089213303,1.3517166801838336,2.6358475263584755,0.8110300081103006
f88585105666,3.5269709543568464,0,53d3c1ea4899; 670455a18706; 031b1c80c392,,,Historical Text,1.6597510373443984,0.0,4.149377593360995,8.298755186721992
1b532b8b25d6,3.7770356234096694,2,d3eb1393655c; 53d3c1ea4899; 031b1c80c392,1434.0,Medieval,Speech,1.9083969465648856,1.2722646310432568,4.293893129770993,7.633587786259541
53d3c1ea4899,2.380952380952381,2,f88585105666; 670455a18706; 031b1c80c392,1137.0,Medieval,Historical Text,2.197802197802198,0.0,3.663003663003663,3.6630036630036624
b1f3af4a4305,5.083655083655084,3,01d36482cbe7; 53d3c1ea4899; 644d813d4e62,1855.0,19th Century,Legal Document,2.3166023166023164,2.574002574002574,3.8610038610038613,11.583011583011583
175c7fd9abeb,2.252411197365326,4,644d813d4e62; d062e3b9d79d; 01d36482cbe7,1930.0,Interwar Period,Legal Document,1.4820042342978124,1.1761938367442955,2.117148906139732,4.234297812279463
c7541cbc47ce,2.7529259509340536,2,670455a18706; 031b1c80c392; 01d36482cbe7,1137.0,Medieval,Legal Document,1.0803511141120865,0.9002925950934054,2.2788656313301825,6.75219446320054
01d36482cbe7,2.711881589618816,1,644d813d4e62; 175c7fd9abeb; c7541cbc47ce,1855.0,19th Century,Legal Document,1.2165450121654504,1.6220600162206003,2.331711273317113,5.677210056772101
644d813d4e62,1.0142310960067968,1,175c7fd9abeb; d062e3b9d79d; 01d36482cbe7,2019.0,21st Century,Legal Document,0.7646559048428208,0.8496176720475787,2.4426508071367885,0.0
